2026-06-29 16:11:50,316 | [META-RNW] | INFO | __main__ | Run ID: 20260629_161150_meta_renewed_t37 | tasks=[3=HSacR, 7=VSacR] | max_trials=10 | dropout=0.50 | patience=30 | lr=1e-04 | wd=1e-02
2026-06-29 16:11:50,316 | [META-RNW] | INFO | __main__ | Log file: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/logs/run_20260629_161150_meta_renewed_t37.log
2026-06-29 16:11:50,317 | [META-RNW] | INFO | __main__ | Loading 8-task VOG tensors (4-error CWT) from: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/data
2026-06-29 16:11:50,473 | [META-RNW] | INFO | full_experiments_using.data_processor.data_engineering | Loaded preprocessed data_store from cache: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/cache/data_store_meta_4err.pkl (5736 epochs)
2026-06-29 16:11:50,485 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing | Strict-parity drop (over 2 kept task(s) at MAX_TRIALS=10): 5 subject(s) had <10 trials on ≥1 kept task.
2026-06-29 16:11:50,485 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260224_093854_1212626_ (MCI) — kept-task counts [t3, t7] = [5, 20]
2026-06-29 16:11:50,485 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260317_093419_1012933 (MCI) — kept-task counts [t3, t7] = [9, 23]
2026-06-29 16:11:50,486 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260310_090536_1517154 (MCI) — kept-task counts [t3, t7] = [7, 24]
2026-06-29 16:11:50,486 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260128_084616_972310 (MCI) — kept-task counts [t3, t7] = [9, 21]
2026-06-29 16:11:50,486 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260325_084718_1491320 (MCI) — kept-task counts [t3, t7] = [5, 15]
2026-06-29 16:11:50,493 | [META-RNW] | INFO | __main__ | Subject bundles built: 32  (bundle shape = (32, 2, 10, 4, 32, 32); KEEP_TASK_IDS=(3, 7))
2026-06-29 16:11:50,493 | [META-RNW] | INFO | __main__ | Strict-parity dropped subjects: 5
2026-06-29 16:11:50,618 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | Renewed meta MC Group CV — 30 folds | device=cuda | dropout=0.50 | lr=1e-04 | wd=1e-02 | NUM_TASKS=2
2026-06-29 16:11:50,618 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | Loading shared MobileViT-small backbone (one-time, no patches)...
2026-06-29 16:11:51,023 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-06-29 16:11:51,040 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/apple/mobilevit-small/6c8612545dc98676d27bc518fa521d9e9af23e34/config.json "HTTP/1.1 200 OK"
2026-06-29 16:11:51,284 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
2026-06-29 16:11:51,505 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/model.safetensors.index.json "HTTP/1.1 404 Not Found"
2026-06-29 16:11:51,727 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/pytorch_model.bin "HTTP/1.1 302 Found"
2026-06-29 16:11:51,941 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
2026-06-29 16:11:52,160 | [META-RNW] | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/apple/mobilevit-small "HTTP/1.1 200 OK"
2026-06-29 16:11:52,464 | [META-RNW] | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/apple/mobilevit-small/commits/main "HTTP/1.1 200 OK"
2026-06-29 16:11:52,568 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | Shared backbone ready on cuda.
2026-06-29 16:11:52,572 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | === Fold 01/30 | train: 22 subj | test: 10 subj ===
2026-06-29 16:11:52,589 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Device: cuda | max_epochs=500 | batch=8 | es_patience=30 | lr=1e-04 | wd=1e-02
2026-06-29 16:11:52,591 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | CE weights — HC: 1.100  MCI: 0.917
2026-06-29 16:11:52,690 | [META-RNW] | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/apple/mobilevit-small/discussions?p=0 "HTTP/1.1 200 OK"
2026-06-29 16:11:52,920 | [META-RNW] | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/apple/mobilevit-small/commits/refs%2Fpr%2F6 "HTTP/1.1 200 OK"
2026-06-29 16:11:53,187 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/refs%2Fpr%2F6/model.safetensors.index.json "HTTP/1.1 404 Not Found"
2026-06-29 16:11:53,408 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/refs%2Fpr%2F6/model.safetensors "HTTP/1.1 302 Found"
2026-06-29 16:11:54,336 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [001/500] T-Acc:  50.0%  V-Acc:  60.0%  V-AUROC: 0.0417  LR: 2.00e-05
