2026-06-29 16:19:57,323 | [META-RNW] | INFO | __main__ | Run ID: 20260629_161957_meta_renewed_t123567_mt02 | tasks=[1=HSacB, 2=HSacBanti, 3=HSacR, 5=VSacB, 6=VSacBanti, 7=VSacR] | max_trials=2 | dropout=0.50 | patience=30 | lr=1e-04 | wd=1e-02
2026-06-29 16:19:57,323 | [META-RNW] | INFO | __main__ | Log file: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/logs/run_20260629_161957_meta_renewed_t123567_mt02.log
2026-06-29 16:19:57,324 | [META-RNW] | INFO | __main__ | Loading 8-task VOG tensors (4-error CWT) from: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/data
2026-06-29 16:19:57,476 | [META-RNW] | INFO | full_experiments_using.data_processor.data_engineering | Loaded preprocessed data_store from cache: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/cache/data_store_meta_4err.pkl (5736 epochs)
2026-06-29 16:19:57,480 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing | Strict-parity drop (over 6 kept task(s) at MAX_TRIALS=2): 23 subject(s) had <2 trials on ≥1 kept task.
2026-06-29 16:19:57,481 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20240709_083459_2025307_ (HC) — kept-task counts [t1, t2, t3, t5, t6, t7] = [1, 3, 19, 11, 14, 22]
2026-06-29 16:19:57,481 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20240329_101344_493078_ (HC) — kept-task counts [t1, t2, t3, t5, t6, t7] = [3, 1, 20, 7, 2, 18]
2026-06-29 16:19:57,481 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20240329_084111_1324721_ (HC) — kept-task counts [t1, t2, t3, t5, t6, t7] = [5, 8, 17, 13, 1, 18]
2026-06-29 16:19:57,481 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20241011_105132_853338_ (HC) — kept-task counts [t1, t2, t3, t5, t6, t7] = [2, 1, 18, 4, 6, 16]
2026-06-29 16:19:57,481 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20250612_100903_584743_ (HC) — kept-task counts [t1, t2, t3, t5, t6, t7] = [2, 1, 13, 6, 1, 19]
2026-06-29 16:19:57,481 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20240329_094040_1073209_ (HC) — kept-task counts [t1, t2, t3, t5, t6, t7] = [4, 2, 19, 5, 0, 16]
2026-06-29 16:19:57,481 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20240830_103408_1926067_ (HC) — kept-task counts [t1, t2, t3, t5, t6, t7] = [2, 0, 19, 7, 3, 20]
2026-06-29 16:19:57,481 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20251223_131850_1523559_ (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [1, 0, 10, 1, 0, 24]
2026-06-29 16:19:57,481 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20250701_091148_644377_ (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [6, 0, 12, 6, 1, 24]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20250917_084851_1188823_ (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [0, 2, 10, 1, 3, 21]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260224_093854_1212626_ (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [1, 1, 5, 2, 1, 20]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20251231_142955_1588893_ (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [3, 3, 10, 4, 0, 24]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20251112_091044_895787_ (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [3, 2, 11, 2, 0, 20]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20250826_085849_1502340_ (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [10, 1, 12, 12, 1, 24]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260324_091656_1959999 (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [7, 1, 10, 2, 0, 21]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260225_142456_1486695 (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [3, 0, 12, 5, 3, 20]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260311_094118_984956 (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [3, 1, 14, 0, 0, 22]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260317_093419_1012933 (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [2, 0, 9, 3, 0, 23]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260204_134719_1968714 (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [4, 0, 12, 4, 6, 21]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260310_090536_1517154 (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [4, 0, 7, 11, 2, 24]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260421_091245_1871077 (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [2, 2, 12, 1, 6, 25]
2026-06-29 16:19:57,482 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260128_084616_972310 (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [3, 1, 9, 1, 1, 21]
2026-06-29 16:19:57,483 | [META-RNW] | INFO | meta_classifier_renewed.data_processor.data_preprocessing |   · dropped 20260325_084718_1491320 (MCI) — kept-task counts [t1, t2, t3, t5, t6, t7] = [4, 0, 5, 1, 0, 15]
2026-06-29 16:19:57,485 | [META-RNW] | INFO | __main__ | Subject bundles built: 14  (bundle shape = (14, 6, 2, 4, 32, 32); KEEP_TASK_IDS=(1, 2, 3, 5, 6, 7))
2026-06-29 16:19:57,485 | [META-RNW] | INFO | __main__ | Strict-parity dropped subjects: 23
2026-06-29 16:19:57,611 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | Renewed meta MC Group CV — 30 folds | device=cuda | dropout=0.50 | lr=1e-04 | wd=1e-02 | NUM_TASKS=6
2026-06-29 16:19:57,611 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | Loading shared MobileViT-small backbone (one-time, no patches)...
2026-06-29 16:19:58,183 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-06-29 16:19:58,208 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/apple/mobilevit-small/6c8612545dc98676d27bc518fa521d9e9af23e34/config.json "HTTP/1.1 200 OK"
2026-06-29 16:19:58,491 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
2026-06-29 16:19:58,719 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/model.safetensors.index.json "HTTP/1.1 404 Not Found"
2026-06-29 16:19:58,947 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/pytorch_model.bin "HTTP/1.1 302 Found"
2026-06-29 16:19:59,170 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
2026-06-29 16:19:59,425 | [META-RNW] | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/apple/mobilevit-small "HTTP/1.1 200 OK"
